ds,y
2009-02-27,7568.42
2009-03-02,7280.15
2009-03-03,7229.72
2009-03-04,7290.96
2009-03-05,7433.49
2009-03-06,7173.1
2009-03-09,7086.03
2009-03-10,7054.98
2009-03-11,7376.12
2009-03-12,7198.25
2009-03-13,7569.28
2009-03-16,7704.15
2009-03-17,7949.13
2009-03-18,7972.17
2009-03-19,7945.96
2009-03-23,8215.53
2009-03-24,8488.3
2009-03-25,8479.99
2009-03-26,8636.33
2009-03-27,8626.97
2009-03-30,8236.08
2009-03-31,8109.53
2009-04-01,8351.91
2009-04-02,8719.78
2009-04-03,8749.84
2009-04-06,8857.93
2009-04-07,8832.85
2009-04-08,8595.01
2009-04-09,8916.06
2009-04-10,8964.11
2009-04-13,8924.43
2009-04-14,8842.68
2009-04-15,8742.96
2009-04-16,8755.26
2009-04-17,8907.58
2009-04-20,8924.75
2009-04-21,8711.33
2009-04-22,8727.3
2009-04-23,8847.01
2009-04-24,8707.99
2009-04-27,8726.34
2009-04-28,8493.77
2009-04-30,8828.26
2009-05-01,8977.37
2009-05-07,9385.7
2009-05-08,9432.83
2009-05-11,9451.98
2009-05-12,9298.61
2009-05-13,9340.49
2009-05-14,9093.73
2009-05-15,9265.02
2009-05-18,9038.69
2009-05-19,9290.29
2009-05-20,9344.64
2009-05-21,9264.15
2009-05-22,9225.81
2009-05-25,9347
2009-05-26,9310.81
2009-05-27,9438.77
2009-05-28,9451.39
2009-05-29,9522.5
2009-06-01,9677.75
2009-06-02,9704.31
2009-06-03,9741.67
2009-06-04,9668.96
2009-06-05,9768.01
2009-06-08,9865.63
2009-06-09,9786.82
2009-06-10,9991.49
2009-06-11,9981.33
2009-06-12,10135.82
2009-06-15,10039.67
2009-06-16,9752.88
2009-06-17,9840.85
2009-06-18,9703.72
2009-06-19,9786.26
2009-06-22,9826.27
2009-06-23,9549.61
2009-06-24,9590.32
2009-06-25,9796.08
2009-06-26,9877.39
2009-06-29,9783.47
2009-06-30,9958.44
2009-07-01,9939.93
2009-07-02,9876.15
2009-07-03,9816.07
2009-07-06,9680.87
2009-07-07,9647.79
2009-07-08,9420.75
2009-07-09,9291.06
2009-07-10,9287.28
2009-07-13,9050.33
2009-07-14,9261.81
2009-07-15,9269.25
2009-07-16,9344.16
2009-07-17,9395.32
2009-07-21,9652.02
2009-07-22,9723.16
2009-07-23,9792.94
2009-07-24,9944.55
2009-07-27,10088.66
2009-07-28,10087.26
2009-07-29,10113.24
2009-07-30,10165.21
2009-07-31,10356.83
2009-08-03,10352.47
2009-08-04,10375.01
2009-08-05,10252.53
2009-08-06,10388.09
2009-08-07,10412.09
2009-08-10,10524.26
2009-08-11,10585.46
2009-08-12,10435
2009-08-13,10517.19
2009-08-14,10597.33
2009-08-17,10268.61
2009-08-18,10284.96
2009-08-19,10204
2009-08-20,10383.41
2009-08-21,10238.2
2009-08-24,10581.05
2009-08-25,10497.36
2009-08-26,10639.71
2009-08-27,10473.97
2009-08-28,10534.14
2009-08-31,10492.53
2009-09-01,10530.06
2009-09-02,10280.46
2009-09-03,10214.64
2009-09-04,10187.11
2009-09-07,10320.94
2009-09-08,10393.23
2009-09-09,10312.14
2009-09-10,10513.67
2009-09-11,10444.33
2009-09-14,10202.06
2009-09-15,10217.62
2009-09-16,10270.77
2009-09-17,10443.8
2009-09-18,10370.54
2009-09-24,10544.22
2009-09-25,10265.98
2009-09-28,10009.52
2009-09-29,10100.2
2009-09-30,10133.23
2009-10-01,9978.64
2009-10-02,9731.87
2009-10-05,9674.49
2009-10-06,9691.8
2009-10-07,9799.6
2009-10-08,9832.47
2009-10-09,10016.39
2009-10-13,10076.56
2009-10-14,10060.21
2009-10-15,10238.65
2009-10-16,10257.56
2009-10-19,10236.51
2009-10-20,10336.84
2009-10-21,10333.39
2009-10-22,10267.17
2009-10-23,10282.99
2009-10-26,10362.62
2009-10-27,10212.46
2009-10-28,10075.05
2009-10-29,9891.1
2009-10-30,10034.74
2009-11-02,9802.95
2009-11-04,9844.31
2009-11-05,9717.44
2009-11-06,9789.35
2009-11-09,9808.99
2009-11-10,9870.73
2009-11-11,9871.68
2009-11-12,9804.49
2009-11-13,9770.31
2009-11-16,9791.18
2009-11-17,9729.93
2009-11-18,9676.8
2009-11-19,9549.47
2009-11-20,9497.68
2009-11-24,9401.58
2009-11-25,9441.64
2009-11-26,9383.24
2009-11-27,9081.52
2009-11-30,9345.55
2009-12-01,9572.2
2009-12-02,9608.94
2009-12-03,9977.67
2009-12-04,10022.59
2009-12-07,10167.6
2009-12-08,10140.47
2009-12-09,10004.72
2009-12-10,9862.82
2009-12-11,10107.87
2009-12-14,10105.68
2009-12-15,10083.48
2009-12-16,10177.41
2009-12-17,10163.8
2009-12-18,10142.05
2009-12-21,10183.47
2009-12-22,10378.03
2009-12-24,10536.92
2009-12-25,10494.71
2009-12-28,10634.23
2009-12-29,10638.06
2009-12-30,10546.44
2010-01-04,10654.79
2010-01-05,10681.83
2010-01-06,10731.45
2010-01-07,10681.66
2010-01-08,10798.32
2010-01-12,10879.14
2010-01-13,10735.03
2010-01-14,10907.68
2010-01-15,10982.1
2010-01-18,10855.08
2010-01-19,10764.9
2010-01-20,10737.52
2010-01-21,10868.41
2010-01-22,10590.55
2010-01-25,10512.69
2010-01-26,10325.28
2010-01-27,10252.08
2010-01-28,10414.29
2010-01-29,10198.04
2010-02-01,10205.02
2010-02-02,10371.09
2010-02-03,10404.33
2010-02-04,10355.98
2010-02-05,10057.09
2010-02-08,9951.82
2010-02-09,9932.9
2010-02-10,9963.99
2010-02-12,10092.19
2010-02-15,10013.3
2010-02-16,10034.25
2010-02-17,10306.83
2010-02-18,10335.69
2010-02-19,10123.58
2010-02-22,10400.47
2010-02-23,10352.1
2010-02-24,10198.83
2010-02-25,10101.96
2010-02-26,10126.03
2010-03-01,10172.06
2010-03-02,10221.84
2010-03-03,10253.14
2010-03-04,10145.72
2010-03-05,10368.96
2010-03-08,10585.92
2010-03-09,10567.65
2010-03-10,10563.92
2010-03-11,10664.95
2010-03-12,10751.26
2010-03-15,10751.98
2010-03-16,10721.71
2010-03-17,10846.98
2010-03-18,10744.03
2010-03-19,10824.72
2010-03-23,10774.15
2010-03-24,10815.03
2010-03-25,10828.85
2010-03-26,10996.37
2010-03-29,10986.47
2010-03-30,11097.14
2010-03-31,11089.94
2010-04-01,11244.4
2010-04-02,11286.09
2010-04-05,11339.3
2010-04-06,11282.32
2010-04-07,11292.83
2010-04-08,11168.2
2010-04-09,11204.34
2010-04-12,11251.9
2010-04-13,11161.23
2010-04-14,11204.9
2010-04-15,11273.79
2010-04-16,11102.18
2010-04-19,10908.77
2010-04-20,10900.68
2010-04-21,11090.05
2010-04-22,10949.09
2010-04-23,10914.46
2010-04-26,11165.79
2010-04-27,11212.66
2010-04-28,10924.79
2010-04-30,11057.4
2010-05-06,10695.69
2010-05-07,10364.59
2010-05-10,10530.7
2010-05-11,10411.1
2010-05-12,10394.03
2010-05-13,10620.55
2010-05-14,10462.51
2010-05-17,10235.76
2010-05-18,10242.64
2010-05-19,10186.84
2010-05-20,10030.31
2010-05-21,9784.54
2010-05-24,9758.4
2010-05-25,9459.89
2010-05-26,9522.66
2010-05-27,9639.72
2010-05-28,9762.98
2010-05-31,9768.7
2010-06-01,9711.83
2010-06-02,9603.24
2010-06-03,9914.19
2010-06-04,9901.19
2010-06-07,9520.8
2010-06-08,9537.94
2010-06-09,9439.13
2010-06-10,9542.65
2010-06-11,9705.25
2010-06-14,9879.85
2010-06-15,9887.89
2010-06-16,10067.15
2010-06-17,9999.4
2010-06-18,9995.02
2010-06-21,10238.01
2010-06-22,10112.89
2010-06-23,9923.7
2010-06-24,9928.34
2010-06-25,9737.48
2010-06-28,9693.94
2010-06-29,9570.67
2010-06-30,9382.64
2010-07-01,9191.6
2010-07-02,9203.71
2010-07-05,9266.78
2010-07-06,9338.04
2010-07-07,9279.65
2010-07-08,9535.74
2010-07-09,9585.32
2010-07-12,9548.11
2010-07-13,9537.23
2010-07-14,9795.24
2010-07-15,9685.53
2010-07-16,9408.36
2010-07-20,9300.46
2010-07-21,9278.83
2010-07-22,9220.88
2010-07-23,9430.96
2010-07-26,9503.66
2010-07-27,9496.85
2010-07-28,9753.27
2010-07-29,9696.02
2010-07-30,9537.3
2010-08-02,9570.31
2010-08-03,9694.01
2010-08-04,9489.34
2010-08-05,9653.92
2010-08-06,9642.12
2010-08-09,9572.49
2010-08-10,9551.05
2010-08-11,9292.85
2010-08-12,9212.59
2010-08-13,9253.46
2010-08-16,9196.67
2010-08-17,9161.68
2010-08-18,9240.54
2010-08-19,9362.68
2010-08-20,9179.38
2010-08-23,9116.69
2010-08-24,8995.14
2010-08-25,8845.39
2010-08-26,8906.48
2010-08-27,8991.06
2010-08-30,9149.26
2010-08-31,8824.06
2010-09-01,8927.02
2010-09-02,9062.84
2010-09-03,9114.13
2010-09-06,9301.32
2010-09-07,9226
2010-09-08,9024.6
2010-09-09,9098.39
2010-09-10,9239.17
2010-09-13,9321.82
2010-09-14,9299.31
2010-09-15,9516.56
2010-09-16,9509.5
2010-09-17,9626.09
2010-09-21,9602.11
2010-09-22,9566.32
2010-09-24,9471.67
2010-09-27,9603.14
2010-09-28,9495.76
2010-09-29,9559.38
2010-09-30,9369.35
2010-10-01,9404.23
2010-10-04,9381.06
2010-10-05,9518.76
2010-10-06,9691.43
2010-10-07,9684.81
2010-10-08,9588.88
2010-10-12,9388.64
2010-10-13,9403.51
2010-10-14,9583.51
2010-10-15,9500.25
2010-10-18,9498.49
2010-10-19,9539.45
2010-10-20,9381.6
2010-10-21,9376.48
2010-10-22,9426.71
2010-10-25,9401.16
2010-10-26,9377.38
2010-10-27,9387.03
2010-10-28,9366.03
2010-10-29,9202.45
2010-11-01,9154.72
2010-11-02,9159.98
2010-11-04,9358.78
2010-11-05,9625.99
2010-11-08,9732.92
2010-11-09,9694.49
2010-11-10,9830.52
2010-11-11,9861.46
2010-11-12,9724.81
2010-11-15,9827.51
2010-11-16,9797.1
2010-11-17,9811.66
2010-11-18,10013.63
2010-11-19,10022.39
2010-11-22,10115.19
2010-11-24,10030.11
2010-11-25,10079.76
2010-11-26,10039.56
2010-11-29,10125.99
2010-11-30,9937.04
2010-12-01,9988.05
2010-12-02,10168.52
2010-12-03,10178.32
2010-12-06,10167.23
2010-12-07,10141.1
2010-12-08,10232.33
2010-12-09,10285.88
2010-12-10,10211.95
2010-12-13,10293.89
2010-12-14,10316.77
2010-12-15,10309.78
2010-12-16,10311.29
2010-12-17,10303.83
2010-12-20,10216.41
2010-12-21,10370.53
2010-12-22,10346.48
2010-12-24,10279.19
2010-12-27,10355.99
2010-12-28,10292.63
2010-12-29,10344.54
2010-12-30,10228.92
2011-01-04,10398.1
2011-01-05,10380.77
2011-01-06,10529.76
2011-01-07,10541.04
2011-01-11,10510.68
2011-01-12,10512.8
2011-01-13,10589.76
2011-01-14,10499.04
2011-01-17,10502.86
2011-01-18,10518.98
2011-01-19,10557.1
2011-01-20,10437.31
2011-01-21,10274.52
2011-01-24,10345.11
2011-01-25,10464.42
2011-01-26,10401.9
2011-01-27,10478.66
2011-01-28,10360.34
2011-01-31,10237.92
2011-02-01,10274.5
2011-02-02,10457.36
2011-02-03,10431.36
2011-02-04,10543.52
2011-02-07,10592.04
2011-02-08,10635.98
2011-02-09,10617.83
2011-02-10,10605.65
2011-02-14,10725.54
2011-02-15,10746.67
2011-02-16,10808.29
2011-02-17,10836.64
2011-02-18,10842.8
2011-02-21,10857.53
2011-02-22,10664.7
2011-02-23,10579.1
2011-02-24,10452.71
2011-02-25,10526.76
2011-02-28,10624.09
2011-03-01,10754.03
2011-03-02,10492.38
2011-03-03,10586.02
2011-03-04,10693.66
2011-03-07,10505.02
2011-03-08,10525.19
2011-03-09,10589.5
2011-03-10,10434.38
2011-03-11,10254.43
2011-03-14,9620.49
2011-03-15,8605.15
2011-03-16,9093.72
2011-03-17,8962.67
2011-03-18,9206.75
2011-03-22,9608.32
2011-03-23,9449.47
2011-03-24,9435.01
2011-03-25,9536.13
2011-03-28,9478.53
2011-03-29,9459.08
2011-03-30,9708.79
2011-03-31,9755.1
2011-04-01,9708.39
2011-04-04,9718.89
2011-04-05,9615.55
2011-04-06,9584.37
2011-04-07,9590.93
2011-04-08,9768.08
2011-04-11,9719.7
2011-04-12,9555.26
2011-04-13,9641.18
2011-04-14,9653.92
2011-04-15,9591.52
2011-04-18,9556.65
2011-04-19,9441.03
2011-04-20,9606.82
2011-04-21,9685.77
2011-04-22,9682.21
2011-04-25,9671.96
2011-04-26,9558.69
2011-04-27,9691.84
2011-04-28,9849.74
2011-05-02,10004.2
2011-05-06,9859.2
2011-05-09,9794.38
2011-05-10,9818.76
2011-05-11,9864.26
2011-05-12,9716.65
2011-05-13,9648.77
2011-05-16,9558.3
2011-05-17,9567.02
2011-05-18,9662.08
2011-05-19,9620.82
2011-05-20,9607.08
2011-05-23,9460.63
2011-05-24,9477.17
2011-05-25,9422.88
2011-05-26,9562.05
2011-05-27,9521.94
2011-05-30,9504.97
2011-05-31,9693.73
2011-06-01,9719.61
2011-06-02,9555.04
2011-06-03,9492.21
2011-06-06,9380.35
2011-06-07,9442.95
2011-06-08,9449.46
2011-06-09,9467.15
2011-06-10,9514.44
2011-06-13,9448.21
2011-06-14,9547.79
2011-06-15,9574.32
2011-06-16,9411.28
2011-06-17,9351.4
2011-06-20,9354.32
2011-06-21,9459.66
2011-06-22,9629.43
2011-06-23,9596.74
2011-06-24,9678.71
2011-06-27,9578.31
2011-06-28,9648.98
2011-06-29,9797.26
2011-06-30,9816.09
2011-07-01,9868.07
2011-07-04,9965.09
2011-07-05,9972.46
2011-07-06,10082.48
2011-07-07,10071.14
2011-07-08,10137.73
2011-07-11,10069.53
2011-07-12,9925.92
2011-07-13,9963.14
2011-07-14,9936.12
2011-07-15,9974.47
2011-07-19,9889.72
2011-07-20,10005.9
2011-07-21,10010.39
2011-07-22,10132.11
2011-07-25,10050.01
2011-07-26,10097.72
2011-07-27,10047.19
2011-07-28,9901.35
2011-07-29,9833.03
2011-08-01,9965.01
2011-08-02,9844.59
2011-08-03,9637.14
2011-08-04,9659.18
2011-08-05,9299.88
2011-08-08,9097.56
2011-08-09,8944.48
2011-08-10,9038.74
2011-08-11,8981.94
2011-08-12,8963.72
2011-08-15,9086.41
2011-08-16,9107.43
2011-08-17,9057.26
2011-08-18,8943.76
2011-08-19,8719.24
2011-08-22,8628.13
2011-08-23,8733.01
2011-08-24,8639.61
2011-08-25,8772.36
2011-08-26,8797.78
2011-08-29,8851.35
2011-08-30,8953.9
2011-08-31,8955.2
2011-09-01,9060.8
2011-09-02,8950.74
2011-09-05,8784.46
2011-09-06,8590.57
2011-09-07,8763.41
2011-09-08,8793.12
2011-09-09,8737.66
2011-09-12,8535.67
2011-09-13,8616.55
2011-09-14,8518.57
2011-09-15,8668.86
2011-09-16,8864.16
2011-09-20,8721.24
2011-09-21,8741.16
2011-09-22,8560.26
2011-09-26,8374.13
2011-09-27,8609.95
2011-09-28,8615.65
2011-09-29,8701.23
2011-09-30,8700.29
2011-10-03,8545.48
2011-10-04,8456.12
2011-10-05,8382.98
2011-10-06,8522.02
