iter	Passed	Remaining
602	12718	92739
603	12743	92747
604	12763	92716
605	12781	92679
606	12804	92668
607	12825	92644
608	12848	92642
609	12871	92634
610	12893	92616
611	12918	92624
612	12940	92608
613	12958	92568
614	12982	92566
615	13003	92545
616	13026	92537
617	13047	92517
618	13106	92760
619	13146	92870
620	13177	92922
621	13208	92972
622	13230	92955
623	13252	92939
624	13277	92942
625	13299	92923
626	13328	92956
627	13350	92942
628	13370	92911
629	13393	92904
630	13414	92878
631	13432	92839
632	13452	92809
633	13471	92770
634	13551	93153
635	13629	93520
636	13670	93632
637	13690	93603
638	13710	93568
639	13728	93526
640	13748	93496
641	13770	93475
642	13791	93448
643	13817	93463
644	13842	93460
645	13887	93602
646	13938	93779
647	13983	93912
648	14016	93967
649	14046	94000
650	14070	93995
651	14091	93971
652	14177	94380
653	14199	94358
654	14222	94346
655	14244	94325
656	14283	94420
657	14311	94437
658	14333	94416
659	14367	94474
660	14387	94443
661	14408	94419
662	14453	94547
663	14522	94834
664	14555	94883
665	14578	94869
666	14597	94831
667	14649	95005
668	14677	95020
669	14705	95040
670	14731	95040
671	14755	95032
672	14775	94998
673	14795	94962
674	14814	94923
675	14833	94884
676	14857	94871
677	14876	94833
678	14897	94805
679	14918	94777
680	14941	94758
681	14966	94759
682	14990	94748
683	15014	94743
684	15040	94741
685	15065	94743
686	15088	94728
687	15112	94719
688	15225	95264
689	15251	95264
690	15273	95243
691	15295	95218
692	15315	95186
693	15335	95152
694	15355	95115
695	15375	95077
696	15397	95060
697	15419	95037
698	15444	95029
699	15465	95004
700	15552	95381
701	15589	95445
702	15661	95730
703	15719	95922
704	15770	96075
705	15808	96151
706	15860	96308
707	15911	96460
708	15946	96511
709	15974	96523
710	15999	96513
711	16028	96532
712	16057	96546
713	16078	96518
714	16099	96486
715	16120	96454
716	16141	96423
717	16163	96396
718	16209	96515
719	16236	96514
720	16259	96498
721	16281	96468
722	16306	96463
723	16347	96549
724	16368	96520
725	16393	96506
726	16416	96487
727	16437	96455
728	16457	96419
729	16478	96389
730	16502	96372
731	16524	96348
732	16546	96321
733	16567	96289
734	16589	96263
735	16609	96226
736	16650	96311
737	16675	96304
738	16695	96263
739	16718	96244
740	16740	96216
741	16761	96188
742	16783	96160
743	16804	96127
744	16825	96098
745	16846	96067
746	16868	96040
747	16890	96012
748	16913	95995
749	16936	95973
750	16960	95958
751	17018	96138
752	17080	96333
753	17127	96449
754	17154	96453
755	17181	96453
756	17256	96724
757	17322	96942
758	17365	97034
759	17405	97105
760	17435	97118
761	17479	97214
762	17521	97298
763	17572	97432
764	17615	97517
765	17636	97483
766	17656	97443
767	17674	97391
768	17693	97351
769	17715	97321
770	17736	97285
771	17768	97314
772	17796	97314
773	17823	97316
774	17850	97316
775	17873	97291
776	17893	97252
777	17913	97212
778	17933	97170
779	17953	97130
780	17971	97084
781	17990	97040
782	18011	97002
783	18030	96960
784	18049	96918
785	18069	96875
786	18089	96835
787	18109	96798
788	18129	96759
789	18149	96719
